"","x"
"1149","little rock school district"
"1150","north little rock school district"
"1151","united negro college fund inc"
"1152","unitarian universalist association"
"1153","unitarian universalist womens federation"
"1154","joint washington office for social concern"
"1155","national legal program on health problems of the poor"
"1156","american civil liberties union fund of the national capitol area"
"1157","employment project"
"1158","california metal enameling company"
"1159","transit mixed concrete company"
"1160","american cement corporation"
"1161","west coast chair manufacturing company"
"1162","occidental life insurance company"
"1163","southern california edison co"
"1164","dallas legal service foundation"
"1165","california rural legal assistance"
"1166","center for law and education "
"1167","boston legal assistance project"
"1168","camden regional legal services"
"1169","legal aid and defender society of greater kansas city"
"1170","new orleans legal assistance corporation"
"1171","legal aid bureau of baltimore"
"1172","automatic electric co"
"1173","finney co"
"1174","kawneer company inc"
"1175","appalachian research and defense fund"
"1176","legal research for appalachian elderly"
"1177","duke power company"
"1178","middle south utilities inc"
"1179","new england power company"
"1180","northeast utilities"
"1181","ohio edison company"
"1182","pacific gas and electric company"
"1183","virginia electric and power company"
"1184","american electric power service corporation"
"1185","american public gas association"
"1186","national organization for women foundation inc"
"1187","womens center for legal programs"
"1188","western center on law and poverty"
"1189","national school boards association"
"1190","california tax payers association"
"1191","seattle school district"
"1192","county of san diego"
"1193","the council of chief state school officers"
"1194","city and county of san francisco california"
"1195","washington education association"
"1196","nebraska state education association"
"1197","califoria teachers association"
"1198","iowa state education association"
"1199","new hampshire education association"
"1200","north dakota education association"
"1201","st louis suburban teachers association"
"1202","idaho education association"
"1203","missouri state teachers association "
"1204","committee for the equal weighting of votes"
"1205","chas claflin allen"
"1206","hayes smith"
"1207","american civil liberties union-northern california"
"1208","alabama independent democratic party"
"1209","national right to work legal defense foundation"
"1210","naturalization lawyers"
"1211","american fund for czechoslovak refugees inc"
"1212","church world service"
"1213","american council of judaism-philanthropy"
"1214","international social service american branch"
"1215","international rescue committee"
"1216","lutheran immigration and refugee service"
"1217","migration and refugee service"
"1218","american council for nationalities service"
"1219","united hebrew sheltering and immigrant aid society service"
"1220","tolstoy foundation inc"
"1221","national association of episcopal schools"
"1222","league of united latin american citizens"
"1223","polish american congress"
"1224","catholic central union of america"
"1225","greek catholic union of the usa"
"1226","ancient order of hibernians in america inc"
"1227","lithuanian roman catholic alliance of america"
"1228","american slovenian catholic union"
"1229","slovak catholic federation of america"
"1230","ukrainian national association inc"
"1231","ukrainian workingmen's association"
"1232","order of the sons of italy in america"
"1233","croatian catholic union of usa"
"1234","hungarian catholic league of america inc"
"1235","union saint-jean-baptiste"
"1236","cleveland ohio public school district"
"1237","cincinnati ohio public school district"
"1238","american vocational association"
"1239","association for supervision and curriculum development"
"1240","rural education association"
"1241","national association of elementary school principals"
"1242","school district of philadelphia"
"1243","pennsylvania state afl-cio"
"1244","national association of laymen"
"1245","center for law and education harvard university"
"1246","east harlem black schools"
"1247","milwaukee federation of independent community schools"
"1248","federation of boston community schools"
"1249","bay high school"
"1250","the learning place"
"1251","minuscule"
"1252","new community school"
"1253","primary life school"
"1254","symbas school"
"1255","connecticut council of churches"
"1256","rita johnson"
"1257","americans united for separation of church and state"
"1258","william manchester"
"1259","edgar w davis"
"1260","connecticut state conference of branches of the naacp"
"1261","robert s earley"
"1262","donald l wassman"
"1263","laura wiley hansen"
"1264","american council on education"
"1265","national federation of business and professional womens clubs inc"
"1266","united mine workers of america"
"1267","american insurance association"
"1268","american association of state compensation insurance funds"
"1269","laborers international union of north america"
"1270","scientific apparatus makers association"
"1271","international association of wall and ceiling contractors"
"1272","mason contractors association of america"
"1273","national roofing contractors association"
"1274","national utility contractors association"
"1275","amalgamated meat cutters and butcher workmen of north america american federation of labor and congress of industrial organizations"
"1276","union carbide corp"
"1277","international union uaw"
"1278","national council of senior citizens"
"1279","states attorney of cook county illinois"
"1280","national law office of the national legal aid and defender association"
"1281","project of corporate responsibility"
"1282","gulf and western industries"
"1283","gainesville utilities department"
"1284","landmarks holding co"
"1285","boston college center for corrections and law"
"1286","allen county legal aid society"
"1287","butler county legal assistance program"
"1288","dayton model cities comprehensive legal services"
"1289","lorain county legal aid society"
"1290","ohio state legal services association"
"1291","stark county legal aid society"
"1292","toledo legal aid society"
"1293","tuscarawas valley legal aid society"
"1294","mahoning county legal assistance association"
"1295","scioto county legal aid association"
"1296","legal aid society of cincinnati"
"1297","legal aid and defender society of columbus"
"1298","licking county legal aid society"
"1299","legal aid bureau inc"
"1300","legal aid society of louisville"
"1301","new hampshire legal assistance"
"1302","pima county bar association"
"1303","legal services of greater miami inc"
"1304","mfy legal services inc"
"1305","pennsylvania bankers association"
"1306","pennsylvania credit union league"
"1307","pennsylvania land title association"
"1308","pennsylvania savings and loan league"
"1309","berkeley neighborhood legal services"
"1310","greater bakersfield legal assistance"
"1311","legal aid society of marin county ca"
"1312","san francisco neighborhood legal assistance foundation"
"1313","tulare county legal services association"
"1314","legal service center of ventura county"
"1315","national consumer law center"
"1316","massachusette"
"1317","mfa central cooperative"
"1318","agway inc"
"1319","common cause"
"1320","bud kouts chevrolet co"
"1321","planned parenthood league of massachusetts"
"1322","zenith vinyl fabrics corporation"
"1323","childcare association of illinois inc"
"1324","far west ski association"
"1325","national environmental law society"
"1326","american national cattlemen's association"
"1327","idaho public lands resources council"
"1328","oregon field trial council"
"1329","outdoors unlimited inc"
"1330","public resources council of oregon"
"1331","national forest products association"
"1332","national water resources association"
"1333","wilderness society"
"1334","friends of the earth"
"1335","izaak walton league"
"1336","environmental defense"
"1337","county of tulare"
"1338","ute indian tribes"
"1339","ute distribution corporation"
"1340","native american rights fund"
"1341","mennonite central committee"
"1342","reservists committee to stop the war"
"1343","center for constitutional rights"
"1344","dominion marine association"
"1345","assuranceforeningen gard"
"1346","britannia steam ship insurance association"
"1347","west of england ship owners mutual insurance association"
"1348","the united kingdom mutual steamship assurance association bermuda ltd"
"1349","steamship mutual underwriting association ltd"
"1350","london p and i club"
"1351","japan ship owners mutual protection and indemnity"
"1352","the swedish club"
"1353","newcastle protection and indemnity association"
"1354","sunderland steamship protecting and indemnity association"
"1355","the liverpool and london steam ship protection and indemnity association limited"
"1356","the north of england protecting and indemnity association limited"
"1357","the standard  steamship owners protection and indemnity association bermuda limited"
"1358","standard steamship owners protection and indemnity association ltd"
"1359","assuranceforeningen skuld"
"1360","monsanto co"
"1361","texas gulf sulfur company"
"1362","public service commission of new york"
"1363","pipeline intervenors"
"1364","mobile gas service corporation"
"1365","mississippi valley gas co"
"1366","clarke-mobile counties gas district"
"1367","brooklyn union gas company"
"1368","columbia gas transmission corporation"
"1369","arkansas public service commission"
"1370","georgia power company"
"1371","savannah electric and power company"
"1372","atlanta gas light co"
"1373","alabama gas corporation"
"1374","national association of regulatory utility commissioners"
"1375","amerace esna corporation"
"1376","itl industries ltd"
"1377","ford motor credit co"
"1378","chrysler capital"
"1379","white motor corporation"
"1380","universal cit credit corp"
"1381","american industrial bankers association"
"1382","national cash register co"
"1383","northwestern university"
"1384","washington state federation of fraternal patriotic city and country clubs"
"1385","benevolent and protective order of the elks of the us"
"1386","black panther party"
"1387","the national lawyers guild"
"1388","american civil liberties union of michigan"
"1389","prison research council of the university of pennsylvania law school"
"1390","officers of the united mine workers of america"
"1391","levitz furniture corporation"
"1392","peoples lobby inc"
"1393","broome county new york"
"1394","group of former army intelligence agents"
"1395","board of trustees of california state colleges"
"1396","american association of presidents of independent colleges and universities"
"1397","district attorney of monroe county ny"
"1398","wisconsin education association council"
"1399","board of regents of regency universities of illinois"
"1400","board of trustees of southern illinois university"
"1401","board of trustees of the university of illinois"
"1402","association of american colleges and universities"
"1403","american association of state colleges and universities"
"1404","association of public and land-grant universities"
"1405","chicago tribune company"
"1406","american newspaper guild american federation of labor and congress of industrial organizations central labor council"
"1407","new york times co"
"1408","california state public defenders"
"1409","applied data research inc"
"1410","association of data processing service organizations"
"1411","burroughs corporation"
"1412","business equipment manufacturers association"
"1413","chicago bar association"
"1414","honeywell inc"
"1415","international business machines co"
"1416","patent lawyers association of chicago"
"1417","iowa state university research foundation inc"
"1418","institutional network corporation"
"1419","whitlow computer systems inc"
"1420","computer software analysts inc"
"1421","computerized lists corp"
"1422","mobil co"
"1423","navajo nation"
"1424","united ministries in education"
"1425","distilled spirits institutions"
"1426","multistate tax commission"
"1427","montana public lands council"
"1428","pennsylvania prison society"
"1429","national emergency civil liberties committee"
"1430","american jewish committee philadelphia chapter"
"1431","american civil liberties union pennsylvania chapter"
"1432","barbwire society"
"1433","committee of seventy"
"1434","philadelphia urban coalition criminal justice task force"
"1435","prisoners rights council"
"1436","michigan legal services assistance program"
"1437","neighborhood legal aid society inc"
"1438","national employment law project"
"1439","legal aid bureau of buffalo inc"
"1440","legal aid society of metropolitan denver"
"1441","legal services center"
"1442","college university corporation"
"1443","danners inc"
"1444","indiana steel and engineering corporation"
"1445","lml engineering and manufacturing corporation"
"1446","stewart-carey inc"
"1447","indiana state chamber of commerce"
"1448","indiana manufacturers association"
"1449","federal community defender organization of the legal aid society of new york"
"1450","association of texas diocesan attorneys"
"1451","new york state council of churches"
"1452","board of christian social concerns of the united methodist church"
"1453","united church of christ"
"1454","americans united for life"
"1455","south bay chapter of the national organization for women"
"1456","zero population growth inc"
"1457","california committee to legalize abortion"
"1458","american public health association"
"1459","new women lawyers"
"1460","womens health and abortion project inc"
"1461","national abortion action coalition"
"1462","american association of planned parenthood physicians"
"1463","women for the unborn"
"1464","celebrate life"
"1465","women concerned for the unborn child"
"1466","minnesota citizens concerned for life inc"
"1467","new york state council columbiettes"
"1468","certain physicians professors and fellows of the american college of obstetrics and gynecology"
"1469","state communities aid association"
"1470","american medical womens association"
"1471","american congress of obstetricians and gynecologists"
"1472","new york academy of medicine"
"1473","national right to life committee"
"1474","national womens conference of the american ethical union"
"1475","professional womens caucus"
"1476","womens alliance of the first unitarian church of dallas"
"1477","american association of university women"
"1478","proviso township"
"1479","members of the corporate fiduciaries association of illinois"
"1480","generic public utilities corporation"
"1481","alabama power co"
"1482","carolina power and light company"
"1483","duquesne light company"
"1484","interstate power company"
"1485","iowa southern utilities company"
"1486","louisiana power and light co"
"1487","union electric company"
"1488","minnesota power and light company"
"1489","san diego gas and electric co"
"1490","virginia gas and electric company"
"1491","seventeen investor-owned electrical utilities"
"1492","missouri basin municipal power agency"
"1493","maryland commission on human relations"
"1494","kaiser family foundation"
"1495","realty advisory board on labor relations inc"
"1496","delta airlines inc"
"1497","american airlines"
"1498","california central valleys flood control association"
"1499","american civil liberties union foundation south texas project"
"1500","south bay union high school district"
"1501","beverly hills unified school district"
"1502","santa monica unified school district"
"1503","el segundo unified school district"
"1504","all of los angeles county"
"1505","los angeles superintendent of education"
"1506","tax collector and treasurer of the county of los angeles harold j ostley"
"1507","glendale unified school district"
"1508","san morina unified school district"
"1509","long beach unified school district"
"1510","league of women voters of texas"
"1511","education finance reform project"
"1512","council of great city schools"
"1513","superintendent of california schools"
"1514","california state board of education"
"1515","san antonio independent school district"
"1516","controller of california"
"1517","mercantile national bank of dallas"
"1518","bank of texas"
"1519","securities industries association"
"1520","republic national bank of dallas"
"1521","first city national bank of houston"
"1522","bartholomew indiana consolidated school corporation"
"1523","bloomfield hills michigan school district"
"1524","grosse pointe michigan public school system"
"1525","new mexico state department of education"
"1526","dearborn city michigan school district"
"1527","council of chief state school officers"
"1528","national congress of parents and teachers"
"1529","national coalition of american nuns"
"1530","southwest council of la raza"
"1531","united ministries in public education"
"1532","agua caliente band of mission indians"
"1533","montanas intra-tribal policy board"
"1534","san carlos apache tribe"
"1535","seneca nation of indians"
"1536","nez perce tribe of idaho"
"1537","laguna pueblo"
"1538","metlakatla indian community"
"1539","confederated tribes of the colville indian reservation"
"1540","suquamish indian tribe"
"1541","muckleshoot indian tribe"
"1542","skokomish indian tribe"
"1543","confederated tribes of the chehalis reservation wa"
"1544","nisqually indian community of the nisqually indian reservation"
"1545","squaxin island indian tribe"
"1546","independent natural gas association of america"
"1547","jersey central power and light co"
"1548","metropolitan edison company"
"1549","new jersey power and light company"
"1550","pennsylvania electric company"
"1551","mississippi state representative robert g clark"
"1552","delta ministry"
"1553","national democratic party of alabama"
"1554","national league of women voters"
"1555","southern elections fund"
"1556","voters education project inc"
"1557","aaron henry chairman of the democratic party of mississippi"
"1558","national business aircraft association"
"1559","port authority of new york and new jersey"
"1560","jones and laughlin steel corporation"
"1561","wheeling-pittsburgh steel corporation"
"1562","rj reynolds tobacco  co"
"1563","dow chemical co"
"1564","public service company of indiana"
"1565","national broadcasting company"
"1566","oregon chapter of americans for effective law enforcement inc"
"1567","american civil liberties union foundation of ohio"
"1568","pyramid lake paiute tribe"
"1569","truckee-carson irrigation district"
"1570","american federation of musicians of the united states and canada"
"1571","custom recording company inc"
"1572","eastern tape corporation"
"1573","k-n enterprises"
"1574","omega sales inc"
"1575","harry fox agency"
"1576","recording industry association of america"
"1577","information industry association"
"1578","e r squibb co"
"1579","proprietary association"
"1580","usv pharmacy corporation"
"1581","pharmaceutical manufacturers association"
"1582","consumers union of the united states inc"
"1583","national association of secondary material industries"
"1584","texas league of women voters"
"1585","law revision center of university of colorado law school"
"1586","american civil liberties union foundation of southern california"
"1587","first amendment lawyers association"
"1588","consumer attorneys of california"
"1589","international association of insurance counsel"
"1590","nooter corporation"
"1591","mexican american legal defense and education fund"
"1592","jewish rights council"
"1593","colorado education association"
"1594","american civil liberties union of colorado"
"1595","san diego independent school district"
"1596","california fair employment practices commission"
"1597","international association of official human rights agencies"
"1598","pennsylvania human relations commission"
"1599","pennsylvania commission on the status of women"
"1600","womens law fund, inc"
"1601","womens equity action league educational and legal defense fund"
"1602","national association of women lawyers"
"1603","western pennsylvania chapter of the american civil liberties union"
"1604","michigan commission on civil rights"
"1605","connecticut commission on human rights and opportunities"
"1606","iowa civil rights commission"
"1607","kentucky commission on human rights"
"1608","massachusetts commission against discrimination"
"1609","citywide coordinating committee of welfare organizations"
"1610","upstate welfare rights organization"
"1611","new york state association of independent schools"
"1612","coalition of american public employees"
"1613","american federation of government employees american federation of labor and congress of industrial organizations"
"1614","arapaho tribe of wyoming"
"1615","hoopa valley tribe"
"1616","quinault indian nation"
"1617","confederated bands and tribes of the yakima indian nation"
"1618","equal employment opportunity commission"
"1619","national association of chain drug stores"
"1620","american pharmaceutical association"
"1621","metropolitan policy department washington dc"
"1622","santa fe pacific railroad co"
"1623","cocupah tribe of indians"
"1624","illinois state bar association"
"1625","childhood and government project"
"1626","chinese consolidated benevolence association"
"1627","chinese american citizens alliance"
"1628","chinese chamber of commerce"
"1629","chinese for affirmative action"
"1630","chinatown-north beach district council"
"1631","chinatown-north beach area youth council"
"1632","chinese newcomers service center"
"1633","chinatown-north beach family planning educational services"
"1634","association of chinese teachers"
"1635","donaldina cameron house"
"1636","association of mexican american educators"
"1637","american gi forum of the united states"
"1638","san francisco lawyers committee"
"1639","latinojustice puerto-rican legal defense and education fund inc"
"1640","national association of letter carriers"
"1641","california department of human resources development"
"1642","halliburton co"
"1643","sears roebuck and co"
"1644","mobile steamship association"
"1645","west gulf maritime association"
"1646","association for children of new jersey"
"1647","association of state colleges and universities"
"1648","legal aid society of maricopa county"
"1649","american telephone and telegraph"
"1650","national interreligious service board for conscientious objectors"
"1651","consumer federation of america"
"1652","nlsp center on social welfare policy and law inc"
"1653","committee for democratic election laws"
"1654","aspira association"
"1655","image"
"1656","the league of united latin american citizen"
"1657","the puerto rican bar association"
"1658","the puerto rican law students association"
"1659","the raza association of spanish-surnamed americans"
"1660","la raza national lawyers association"
"1661","la raza national law students association"
"1662","harvard college"
"1663","student bar  association of rutgers school of law at newark"
"1664","antioch school of law"
"1665","association of american law schools"
"1666","united farm workers of america afl-cio"
"1667","university of notre dame center for civil rights"
"1668","children's defense fund of the washington research project inc"
"1669","center for community change"
"1670","national urban coalition"
"1671","southern christian leadership conference"
"1672","massachusetts institute of technology"
"1673","united automobile aerospace agricultural workers of america"
"1674","apartment house council of metro washington inc"
"1675","center for criminal justice"
"1676","national paralegal institute"
"1677","ry reynolds tobacco company"
"1678","ohio state bar association"
"1679","association for advancement of invention and innovation"
"1680","new york patent law association inc"
"1681","budd co"
"1682","optical coating laboratory inc"
"1683","rohr industries inc"
"1684","southwire company"
"1685","scm corporation"
"1686","national patent council"
"1687","capital associated industries inc"
"1688","central piedmont industries inc"
"1689","piedmont associated industries"
"1690","western carolina industries"
"1691","associated industries"
"1692","tax analysts and advocates"
"1693","council on foundations inc"
"1694","lone star steel corporation"
"1695","gulf oil corporation"
"1696","ei dupont de nemours and co"
"1697","exxon mobil corp"
"1698","brown and root inc"
"1699","san antonio portland cement co"
"1700","ko steel casings inc"
"1701","eastex inc"
"1702","springdale eggs inc"
"1703","st louis san francisco railway company"
"1704","missouri pacific railroad "
"1705","gulf mobile and ohio railway company"
"1706","norton simon inc"
"1707","federal mart corporation"
"1708","public citizens and consumers union"
"1709","american college of trial lawyers"
"1710","american society of consulting planners"
"1711","council for private enterprise"
"1712","american consulting engineers council"
"1713","electronics industries association"
"1714","legislative council for photogremmetry"
"1715","national association of river and harbor contractors"
"1716","national council of professional service firms"
"1717","national employment association"
"1718","national parking association"
"1719","shipbuilders council of america"
"1720","national council of technical service industries"
"1721","american society of association executives"
"1722","small producers group"
"1723","independent petroleum association of america"
"1724","parents rights inc"
"1725","lutheran church missouri synod"
"1726","missouri coalition for public education and religious liberty"
"1727","torah umesorah"
"1728","catholic league for religious and civil rights"
"1729","committee for public education and religious liberty new york"
"1730","ohio free schools association"
"1731","preserve our public schools wisconsin"
"1732","michigan state bar civil liberties commission"
"1733","merchants and manufacturers association"
"1734","physicians forum"
"1735","international union of electrical radio and machine workers afl-cio"
"1736","national tribal chairmans association"
"1737","montana inter-tribal policy board"
"1738","national legal christian society on social welfare policy and law"
"1739","washington lawyers committee for civil rights under the law"
"1740","printing industries of america"
"1741","houston chronicle publishing co"
"1742","miami herald publishing co"
"1743","new york news inc"
"1744","times mirror co"
"1745","minneapolis star tribune"
"1746","columbia pictures industries inc"
"1747","reporters committee for freedom of the press legal defense and research foundation"
"1748","american library association"
"1749","association of american publishers"
"1750","the association of magazine media"
"1751","national association of college stores inc"
"1752","international periodical distributors association"
"1753","periodical and book association of america inc"
"1754","sentinel star co"
"1755","gore newspapers co"
"1756","dow jones and co inc"
"1757","florida publishing co"
"1758","times publishing company"
"1759","reporters committee for freedom of press legal defense and research foundation"
"1760","society of professional journalists "
"1761","american society of newspaper editors"
"1762","gannett florida co"
"1763","american civil liberties union of florida"
"1764","national newspaper association"
"1765","washington post co"
"1766","the times mirror co"
"1767","national prison project of the american civil liberties union foundation"
"1768","louisville bar association"
"1769","national prisoners project of the aclu foundation"
"1770","national suburban league"
"1771","interfaith centers for racial justice"
"1772","clintondale community schools"
"1773","l-anse creuse public schools"
"1774","plymouth community school district"
"1775","van dyke public schools"
"1776","westwood community school district"
"1777","birmingham public schools"
"1778","clarenceville school district"
"1779","metropolitan school district of warren township"
"1780","american cotton shippers"
"1781","bud antle inc"
"1782","national council of agricultural employees"
"1783","national industrial traffic league"
"1784","trustees of reading co"
"1785","new orleans steamship association"
"1786","baton rouge steamship assn"
"1787","pensacola steamship association"
"1788","tampa maritime association"
"1789","jacksonville maritime association"
"1790","savannah maritime association"
"1791","south carolina stevedores association"
"1792","westwind africa line ltd"
"1793","legal aid foundation of long beach"
"1794","legal aid society of san diego"
"1795","advocates for basic legal equality inc"
"1796","texas rural legal aid inc"
"1797","national womens political caucus"
"1798","independent voters of illinois independent precinct organization"
"1799","shoshone and arapahoe indian tribes"
"1800","ohio association of school business officials"
"1801","buckeye association of school administrators"
"1802","ohio association of secondary school principals"
"1803","ohio association of elementary school principals"
"1804","ohio school superintendents association"
"1805","ohio association of school curriculum officials"
"1806","ohio congress of school administration association"
"1807","children's defense fund"
"1808","national committee for citizens in education"
"1809","education law center"
"1810","center for governmental responsibility"
"1811","department store employees union"
"1812","wayne state university law school"
"1813","appellate committee of the california district attorneys association"
"1814","dade county bar association"
"1815","western railroad traffic association"
"1816","maryland public broadcasting commission"
"1817","pacific power and light co"
"1818","portland general electric co"
"1819","puget sound power and light co"
"1820","montana power company"
"1821","washington water power co"
"1822","tongue and yellowstone beet growers association"
"1823","buffalo rapids irrigation project"
"1824","custer rod and gun club"
"1825","trout unlimited inc"
"1826","northern california power agency"
"1827","electric and water plant board of frankfort ky"
"1828","municipal light department of wakefield mass"
"1829","edison electric institute"
"1830","sisseton-wahpeton sioux tribe"
"1831","arapaho tribe of indians"
"1832","multimedia inc"
"1833","associated gas distributors"
"1834","food advocates"
"1835","american association for maternal and child health"
"1836","national organization for the reform of marijuana laws"
"1837","rio grande valley sugar growers association"
"1838","atlantic richfield"
"1839","celanese corporation"
"1840","union oil company of california"
"1841","american petrofina company"
"1842","phillips petroleum co"
"1843","champlin petroleum co"
"1844","aluminum company of america"
"1845","american iron and steel institute"
"1846","massachusetts defenders committee"
"1847","center for law in the public interest"
"1848","new york city bar association"
"1849","el paso county junior college"
"1850","national audio visual association"
"1851","connecticut council on american private education"
"1852","council of judges of the national council on crime and delinquency"
"1853","assembly of government employees"
"1854","association for union democracy"
"1855","air moving and conditioning association inc"
"1856","architectural woodwork institute"
"1857","national woodwork manufacturers association"
"1858","american boiler manufacturers association"
"1859","air-conditioning and refrigeration institute"
"1860","national electrical manufacturers association"
"1861","nlrb"
"1862","building chapters of the associated general contractors of texas"
"1863","grocery manufacturers of america inc"
"1864","national canners association"
"1865","american dental association"
"1866","bar association of san francisco"
"1867","national organization of bar councils"
"1868","state bar of wisconsin"
"1869","virginia right to life"
"1870","public citizen foundation"
"1871","center for women policy studies"
"1872","sec"
"1873","independent bakers association of georgia inc"
"1874","federal public defenders association of new jersey"
"1875","american academy of child and adolescent psychiatry"
"1876","american association of psychiatric services for children"
"1877","connecticut child welfare association"
"1878","consortium on early childbearing and child rearing"
"1879","day care and child development council of america inc"
"1880","family service association of america"
"1881","interreligious foundation for community organization"
"1882","national conference of catholic charities"
"1883","catholic charities of norwich connecticut"
"1884","catholic charities of fairfield county"
"1885","national federation of settlements and neighborhood centers"
"1886","salvation army"
"1887","american society for personnel administration"
"1888","california newsspapers inc"
"1889","labor committee of the national lawyers guild"
"1890","union nacional de trabajodores"
"1891","gulf coast pulpwood association"
"1892","union of electrical radio and machine workers"
"1893","district 65 distributive workers of america"
"1894","local 1199 drug and hospital employees union"
"1895","newspaper guild of new york local 3 afl-cio"
"1896","local 306 moving picture machine operators union"
"1897","regional housing legal service"
"1898","american association of mental deficiencies"
"1899","committee on mental hygiene of the new york state bar association"
"1900","american trading and production company"
"1901","legal services for the elderly poor"
"1902","allis chalmers corporation"
"1903","ohio tax commissioner"
"1904","greater philadelphia movement"
"1905","philadelphia bar association"
"1906","northern california police practices project"
"1907","california fair political practice"
"1908","missouri elections commission"
"1909","new jersey election law enforcement commission"
"1910","new york board of elections"
"1911","socialist labor party"
"1912","peace and freedom party los angeles central committee"
"1913","interstate natural gas association"
"1914","prod inc"
"1915","american publishers inc"
"1916","kentucky association of chiefs of police"
"1917","american life insurance association"
"1918","national association of independent insurers"
"1919","communications workers of america"
"1920","eeoc"
"1921","westinghouse electric corp"
"1922","alaska airlines inc"
"1923","aloha airlines inc"
"1924","continental airlines inc"
"1925","eastern air lines inc"
"1926","hawaiian airlines inc"
"1927","hughes air corp"
"1928","national airlines inc"
"1929","united airlines inc"
"1930","north central airlines inc"
"1931","texas international airlines inc"
"1932","western airlines inc"
"1933","blank goodman kelly rone and stanley"
"1934","equal rights advocates"
"1935","owens illinois inc"
"1936","sherwin wililiams company"
"1937","crow tribe of montana"
"1938","southern ute indian tribe"
"1939","ute mountain ute tribe"
"1940","american civil liberties union of new jersey"
"1941","mississippi pharmaceutical association"
"1942","north carolina pharmaceutical association"
"1943","south carolina pharmaceutical association"
"1944","tennessee pharmaceutical association"
"1945","alabama pharmacists association"
"1946","florida pharmaceutical association"
"1947","georgia pharmaceutical association"
"1948","kentucky pharmaceutical association"
"1949","american hospital association"
"1950","federal defenders of san diego"
"1951","california attorneys for criminal justice"
"1952","applied data resources"
"1953","california patent lawyers association"
"1954","computer and business equipment manufacturers"
"1955","universal software"
"1956","software associates inc"
"1957","trans world airlines"
"1958","philadelphia patent law association"
"1959","international brotherhood of police officers"
"1960","texas farmers union"
"1961","bar association of the district of columbia"
"1962","notre dame center for civil rights"
"1963","center for national policy"
"1964","league of women voters of illinois"
"1965","league of women voters of cook county"
"1966","league of women voters of chicago"
"1967","suburban action institute"
"1968","national society of public accountants"
"1969","american civil liberties union illinois division"
"1970","chicago patrolmens association"
"1971","national council of la raza"
"1972","national black media coalition"
"1973","bank of boston international"
"1974","federation of american hospitals"
"1975","osco drug inc"
"1976","association of national advertisers"
"1977","national retired teachers association"
"1978","american association of retired persons"
"1979","detroit edison company"
"1980","niagara mohawk power corp"
"1981","omaha public power district"
"1982","public service company of new hampshire"
"1983","yankee atomic energy company"
"1984","boston edison co"
"1985","california power and light company"
"1986","central maine power company"
"1987","commonwealth edison company"
"1988","connecticut light and power co"
"1989","consolidated edison company of new york inc"
"1990","elderly poor"
"1991","traveler's aid-international social service of america inc"
"1992","lutheran council in the usa"
"1993","united hias service inc"
"1994","american civic association inc"
"1995","international institutes of jersey city minnesota oakland and buffalo"
"1996","travelers aid society of metropolitan chicago"
"1997","immigrants service league"
"1998","american council for judaism philanthropic fund inc"
"1999","us catholic conference migration and refuge services inc"
"2000","parigo tribe"
"2001","comptroller of the currency"
"2002","first national bank of chicago"
"2003","california air resources board"
"2004","american psychological association executive committee of the division of industrial-organizational psychology"
"2005","educational testing service"
"2006","new hampshire commercial fishermen's association"
"2007","center for correctional justice"
"2008","pennsylvania school boards association"
"2009","wisconsin association of school boards"
"2010","associated humane societies"
"2011","nevada state grazing board"
"2012","duckwater shoshone tribe"
"2013","wildhorse organization"
"2014","wyoming livestock board"
"2015","international associatio of game fish and conservation commissioners"
"2016","nevada state board of agriculture"
"2017","mcclure and trotter"
"2018","associated general contractors of america san diego chapter inc"
"2019","san diego building contractors"
"2020","american society of planning officials"
"2021","american institute of planners"
"2022","catholic bishops  of chicago"
"2023","council for the advancement of small colleges"
"2024","national association of schools and colleges of the united methodist church"
"2025","national council of independent colleges and universities"
"2026","association of jesuit colleges and universities"
"2027","national coalition for public education and religious liberty"
"2028","florida police benevolent association"
"2029","public service research council inc"
"2030","virginia municipal league"
"2031","virginia association of counties"
"2032","international conference of police associations"
"2033","dade christian schools"
"2034","southern association of independent schools"
"2035","indiana and michigan electric company"
"2036","kentucky power company"
"2037","ohio power company"
"2038","appalachian power co"
"2039","coalition for the environment"
"2040","state police association of massachusetts"
"2041","older and middle age worker ombudsman pilot project of united communities of southeastern philadelphia"
"2042","public interest law center of philadelphia"
"2043","national senior citizens law center"
"2044","new york association of magistrates"
"2045","salt lake legal defenders"
"2046","carter oil supply co"
"2047","national rural electric cooperative association"
"2048","colorado rural electric association"
"2049","midwest electric consumers association"
"2050","montana associated utilities"
"2051","nebraska rural electric association"
"2052","north dakota association of rural electric cooperatives"
"2053","northwest public power association"
"2054","south dakota rural electric association"
"2055","washington rural electric cooperative association"
"2056","wyoming state rural electric association"
"2057","utah power and light co"
"2058","western fuels association inc"
"2059","basin electric power cooperative inc"
"2060","heartland consumers power district"
"2061","lincoln electric system"
"2062","tristate generation and transmission association"
"2063","wyoming municipal power agency"
"2064","cajun electric power cooperative inc"
"2065","national parks conservation association"
"2066","national audubon society"
"2067","environmental policy center"
"2068","environmental action"
"2069","colorado open space council inc"
"2070","defenders of wildlife"
"2071","natural resources defense council"
"2072","board of education chattanooga tenn"
"2073","naacp western region inc"
"2074","pasadena branch of the naacp"
"2075","pasadena federation of teachers"
"2076","american friends service committee of pasadena"
"2077","pasadena foothill branchof the greater los angeles urban league"
"2078","cbs inc"
"2079","parade publications  inc"
